latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-27.16,152.398,325.3,1,1,2020-02-19,0000,T,79,6.0NRT,299.5,15.3,D
-28.773,151.087,324.4,1.1,1,2020-02-19,0000,T,75,6.0NRT,297.6,15,D
-28.775,151.098,317.4,1.1,1,2020-02-19,0000,T,57,6.0NRT,297.5,7.6,D
-7.922,-35.195,305.4,1.4,1.2,2020-02-19,0035,T,64,6.0NRT,291.6,9.4,N
-7.924,-35.208,305.7,1.4,1.2,2020-02-19,0035,T,65,6.0NRT,291.7,9.7,N
-7.342,-35.131,311.8,1.4,1.2,2020-02-19,0040,T,83,6.0NRT,278.1,19.1,N
-7.344,-35.144,321.3,1.4,1.2,2020-02-19,0040,T,100,6.0NRT,278.9,32.4,N
-1.414,29.216,301.3,4.8,2,2020-02-19,0020,A,23,6.0NRT,275.7,72,N
12.474,23.394,318.9,1.1,1,2020-02-19,0015,A,98,6.0NRT,291.9,18.9,N
12.466,23.382,309.5,1.1,1,2020-02-19,0015,A,78,6.0NRT,291.2,10.6,N
11.401,22.026,303.2,1,1,2020-02-19,0015,A,36,6.0NRT,292.6,4.2,N
11.399,22.035,315.1,1,1,2020-02-19,0015,A,90,6.0NRT,293.1,12.8,N
11.392,22.025,304.2,1,1,2020-02-19,0015,A,59,6.0NRT,292.4,5.1,N
11.39,22.034,310.8,1,1,2020-02-19,0015,A,81,6.0NRT,292.8,9.2,N
11.369,22.05,303.2,1,1,2020-02-19,0015,A,54,6.0NRT,291.9,5.4,N
11.437,21.032,304,1,1,2020-02-19,0015,A,58,6.0NRT,287.6,6.6,N
11.161,21.655,313.5,1,1,2020-02-19,0015,A,75,6.0NRT,292.3,11.1,N
11.152,21.653,305.8,1,1,2020-02-19,0015,A,23,6.0NRT,291.6,5.8,N
11.569,18.658,310.8,1.2,1.1,2020-02-19,0015,A,36,6.0NRT,294.1,11.2,N
11.567,18.668,312.1,1.2,1.1,2020-02-19,0015,A,36,6.0NRT,294.9,12.2,N
11.143,21.652,307.9,1,1,2020-02-19,0015,A,73,6.0NRT,291.7,7.5,N
11.141,21.661,312.1,1,1,2020-02-19,0015,A,84,6.0NRT,292.5,10.5,N
11.566,18.662,319.9,1.2,1.1,2020-02-19,0015,A,99,6.0NRT,294.8,20.9,N
11.565,18.672,309.8,1.2,1.1,2020-02-19,0015,A,25,6.0NRT,294.8,9.4,N
11.557,18.66,313.5,1.2,1.1,2020-02-19,0015,A,80,6.0NRT,295.3,13.6,N
11.555,18.67,310,1.2,1.1,2020-02-19,0015,A,34,6.0NRT,294.6,9.7,N
11.544,18.68,312.6,1.2,1.1,2020-02-19,0015,A,41,6.0NRT,293.9,12,N
11.534,18.678,326,1.2,1.1,2020-02-19,0015,A,100,6.0NRT,294.5,29.4,N
11.533,18.689,304,1.2,1.1,2020-02-19,0015,A,25,6.0NRT,293.6,5.6,N
11.363,19.697,305.7,1.1,1,2020-02-19,0015,A,65,6.0NRT,293.2,6.4,N
9.57,30.147,302.2,3.6,1.8,2020-02-19,0015,A,47,6.0NRT,288,31.8,N
9.564,30.179,305.1,3.6,1.8,2020-02-19,0015,A,63,6.0NRT,288.2,44.7,N
9.572,30.174,300.6,3.6,1.8,2020-02-19,0015,A,28,6.0NRT,288.3,28.1,N
9.556,30.171,302.4,3.6,1.8,2020-02-19,0015,A,49,6.0NRT,288,36.5,N
